name;location;lat;lon
GLOBUS Bedburg;Bahnstraße 15, 50181 Bedburg;50.9884149;6.57527763207125
GLOBUS Bobenheim-Roxheim;Südring 2, 67240 Bobenheim;49.581794849999994;8.352689446646007
GLOBUS Bochum;Riemker Straße 13, 44809 Bochum-Riemke;51.507508;7.1930515
GLOBUS Braunschweig;Otto-von-Guericke Straße 11, 38122 Braunschweig;52.2424462;10.5113269
GLOBUS Castrop-Rauxel;Siemensstr. 10, 44579 Castrop-Rauxel;51.58026615;7.307958602381099
GLOBUS Chemnitz;Im Neefepark 3, 09116 Chemnitz;50.805641;12.8610717
GLOBUS Dudweiler;Fischbachstr. 121, 66125 Dudweiler;49.289939950000004;7.02653078004958
GLOBUS Duisburg;Berliner Str. 90, 47138 Duisburg;51.4807958;6.8110391
GLOBUS Dutenhofen;Industriestraße 2, 35582 Wetzlar-Dutenhofen;50.56116325;8.608482077148793
GLOBUS Erfurt-Linderbach;Weimarische Straße 117, 99098 Erfurt-Linderbach;50.9761299;11.1058853
GLOBUS Erfurt-Mittelhausen;Erfurter Straße 72, 99095 Erfurt;51.0353472;11.0030055
GLOBUS Eschborn;Ginnheimer Straße 18, 65760 Eschborn;50.14232475;8.581437834990417
GLOBUS Essen;Haedenkampstraße 21, 45143 Essen;51.4566836;6.9855746
GLOBUS Forchheim;Willy-Brandt-Allee 1, 91301 Forchheim;49.7063705;11.0702315
GLOBUS Freilassing;Traunsteiner Str. 6, 83395 Freilassing;47.82596005;12.962643916239168
GLOBUS Gensingen;Binger Straße, 55457 Gensingen;49.9016624;7.925638
GLOBUS Gera-Trebnitz;An der Beerweinschänke Nr. 2, 07554 Gera;50.88639135;12.138114376344745
GLOBUS Grünstadt;Daimler-Str. 23, 67269 Grünstadt;49.5577121;8.182830920029122
GLOBUS Halle Dieselstraße;Dieselstraße 47, 06130 Halle;51.455898250000004;11.992505532183609
GLOBUS Hamburg-Lurup;Grandkuhlenweg 11, 22549 Hamburg;53.584213399999996;9.870533303084022
GLOBUS Hattersheim;Heddingheimer Straße 2-4, 65795 Hattersheim;50.071916349999995;8.476268661644571
GLOBUS Hermsdorf;Rodaer Straße 72, 07629 Hermsdorf;50.88661125;11.848867572933013
GLOBUS Hockenheim;Speyerer Str. 1, 68766 Hockenheim;49.335779849999994;8.532232408107667
GLOBUS Homburg-Einöd;Neunmorgenstraße 8, 66424 Homburg-Einöd;49.2633626;7.335231698081463
GLOBUS Hoyerswerda;Kamenzer Bogen 1, 02977 Hoyerswerda;51.4293313;14.2391027
GLOBUS Idar-Oberstein;Zwischen Wasser 13, 55743 Idar-Oberstein;49.7315854;7.395015378122444
GLOBUS Isserstedt;Weimarische Straße 3, 07751 Jena-Isserstedt;50.9581005;11.5090531
GLOBUS Kaiserslautern;Merkurstraße 57, 67663 Kaiserslautern;49.4400722;7.709313175199329
GLOBUS Koblenz-Bubenheim;Jakob-Caspers-Straße 2, 56070 Koblenz-Bubenheim;50.38626429999999;7.555532954369636
GLOBUS Krefeld;Hafelsstraße 200, 47809 Krefeld;51.32200165;6.599409788906322
GLOBUS Köln-Marsdorf;Max-Planck-Straße 9, 50858 Köln-Marsdorf;50.921936;6.8531265
GLOBUS Lahnstein;Brückenstraße 17, 56112 Lahnstein;50.30695155;7.604996164441998
GLOBUS Leipzig-Seehausen;An der Passage 1, 04356 Leipzig;51.4010673;12.395067732818422
GLOBUS Limburg;Mundipharma Str. 1, 65549 Limburg;50.399076699999995;8.075026402904122
